                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.98834,                0.74117,                 1.0513,                0.80753,                 0.7408,                0.80505,                0.67043,                 1.1023,                0.97563,                 1.1199,              0.0040105,              0.0040105,              0.0040105
                    123,                0.98816,                0.74312,                 1.0539,                0.80779,                0.73997,                0.80549,                0.67076,                 1.1023,                0.97584,                 1.1199,               0.003961,               0.003961,               0.003961
                    124,                0.98303,                0.74485,                 1.0496,                0.80869,                0.73955,                0.80777,                0.67295,                 1.1032,                0.97661,                 1.1206,              0.0039115,              0.0039115,              0.0039115
                    125,                0.98673,                0.74619,                 1.0525,                0.80649,                0.74045,                0.80782,                0.67355,                  1.103,                0.97676,                 1.1206,               0.003862,               0.003862,               0.003862
                    126,                0.98451,                 0.7374,                 1.0487,                0.80577,                0.74083,                0.80759,                0.67485,                 1.1032,                0.97641,                 1.1206,              0.0038125,              0.0038125,              0.0038125
                    127,                0.97782,                0.73329,                 1.0452,                0.80544,                  0.741,                0.80802,                0.67421,                  1.103,                0.97598,                 1.1205,               0.003763,               0.003763,               0.003763
                    128,                0.98403,                0.73263,                 1.0495,                0.80419,                0.74167,                0.80759,                0.67336,                 1.1031,                0.97544,                 1.1204,              0.0037135,              0.0037135,              0.0037135
                    129,                0.98135,                0.73264,                 1.0437,                0.80349,                0.74186,                0.80784,                 0.6736,                 1.1023,                0.97532,                 1.1198,               0.003664,               0.003664,               0.003664
                    130,                0.97735,                0.72861,                  1.048,                0.80359,                0.74135,                0.80774,                0.67411,                 1.1025,                0.97493,                 1.1199,              0.0036145,              0.0036145,              0.0036145
                    131,                0.97505,                 0.7329,                 1.0464,                0.80299,                0.74141,                0.80501,                0.67203,                 1.1025,                0.97451,                   1.12,               0.003565,               0.003565,               0.003565
                    132,                0.97104,                0.72659,                 1.0428,                0.80277,                0.74172,                  0.805,                0.67192,                 1.1023,                0.97358,                 1.1198,              0.0035155,              0.0035155,              0.0035155
                    133,                0.97463,                   0.73,                 1.0446,                0.80319,                0.74088,                0.80525,                0.67233,                  1.102,                0.97319,                 1.1198,               0.003466,               0.003466,               0.003466
                    134,                0.97214,                0.72328,                 1.0428,                0.80282,                 0.7408,                0.80503,                0.67216,                 1.1024,                0.97323,                 1.1202,              0.0034165,              0.0034165,              0.0034165
                    135,                0.96982,                0.72112,                 1.0404,                0.80168,                0.74153,                0.80515,                0.67177,                 1.1023,                0.97341,                 1.1198,               0.003367,               0.003367,               0.003367
                    136,                0.96748,                0.71941,                 1.0377,                0.80214,                0.74111,                0.80458,                0.67128,                 1.1023,                0.97356,                 1.1201,              0.0033175,              0.0033175,              0.0033175
                    137,                0.96233,                0.71392,                  1.038,                0.80105,                 0.7418,                0.80426,                0.67087,                 1.1026,                0.97337,                   1.12,               0.003268,               0.003268,               0.003268
                    138,                0.96722,                0.71719,                 1.0397,                 0.8009,                0.74175,                0.80461,                0.67052,                 1.1033,                0.97418,                 1.1204,              0.0032185,              0.0032185,              0.0032185
                    139,                0.96119,                0.71385,                 1.0373,                0.80055,                0.74194,                0.80436,                0.66969,                 1.1037,                0.97365,                 1.1203,               0.003169,               0.003169,               0.003169
                    140,                0.96077,                0.71006,                  1.036,                0.78879,                 0.7507,                0.80434,                0.67034,                 1.1038,                0.97413,                 1.1204,              0.0031195,              0.0031195,              0.0031195
                    141,                0.95968,                0.71208,                 1.0368,                0.78794,                0.75164,                0.80442,                0.66959,                 1.1037,                0.97384,                   1.12,                0.00307,                0.00307,                0.00307
                    142,                0.95754,                0.70767,                 1.0346,                0.78755,                0.75186,                  0.804,                0.66978,                  1.104,                0.97449,                 1.1201,              0.0030205,              0.0030205,              0.0030205
                    143,                0.95956,                0.70999,                  1.038,                0.78756,                0.75183,                0.80386,                0.66981,                 1.1046,                0.97391,                 1.1205,               0.002971,               0.002971,               0.002971
                    144,                 0.9525,                0.70396,                 1.0334,                0.78809,                0.75089,                0.80383,                0.66898,                 1.1047,                0.97373,                 1.1204,              0.0029215,              0.0029215,              0.0029215
                    145,                0.95099,                0.70545,                 1.0343,                0.75402,                0.78422,                0.80391,                0.66916,                 1.1047,                0.97452,                 1.1204,               0.002872,               0.002872,               0.002872
                    146,                0.95183,                0.70171,                 1.0348,                0.75296,                0.78576,                0.80419,                0.66951,                 1.1051,                0.97479,                 1.1204,              0.0028225,              0.0028225,              0.0028225
                    147,                0.94679,                0.69293,                 1.0322,                0.75241,                 0.7854,                0.80418,                0.66991,                 1.1052,                0.97506,                 1.1203,               0.002773,               0.002773,               0.002773
                    148,                0.94463,                0.68931,                 1.0276,                 0.7521,                0.78543,                0.80465,                0.66969,                 1.1053,                0.97548,                 1.1203,              0.0027235,              0.0027235,              0.0027235
                    149,                0.94972,                0.69599,                 1.0319,                 0.7522,                0.78505,                0.80489,                0.67033,                 1.1058,                0.97585,                 1.1204,               0.002674,               0.002674,               0.002674
                    150,                0.94607,                0.69078,                 1.0298,                0.75287,                0.78419,                0.80478,                0.66959,                 1.1062,                 0.9766,                 1.1205,              0.0026245,              0.0026245,              0.0026245
